field_1,s_id,nzsegment,nzreach,nztme,nztmn,long,lat,period,np_id,np_id_name,np_id_units,q_5,q_20,q_25,median,q_75,q_80,q_95,g_540,g_260,ann_max,nof_swim,nof_toxicity,anzg_meet,mci_band,sof,climate,src_of_flw,dominant_landcover,n_values,n_rightcensored,n_leftcensored,dl,al,imputed_lower,imputed_upper,month_ok,quarter_ok,year_ok,c_q_5,c_q_20,c_q_25,c_median,c_q_75,c_q_80,c_q_95,c_ann_max,sid,river,location,sitename,siteid,rcid,councilsiteid,councilsit,landcover,nzmge,nzmgn,anz_dgv_q80,anz_dgv_q20
76,EBOP-00186,4059149,4000905,1870360.96275078,5825919.54579126,176.065484793774,-37.6741091245345,2013-2017,MCI,Macroinvertebrate community index,Index,73,74.5,75.25,82.5,84.54762,84.80952,85.33333,NA,NA,85.33333333,NA,NA,NA,Fair,WW/L,WW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-081,Oturu Creek,NA,Oturu,81,EBOP,DP036592,NA,P,2780593,6387433,NA,NA
4,ARC-00009,2045595,2009507,1775176.43929411,5881617.56283193,174.973762491567,-37.1954799891698,2013-2017,MCI,Macroinvertebrate community index,Index,76.4,77.24923,77.81539,80.66801,83.47687,84.02551,84.84848,NA,NA,84.84848,NA,NA,NA,Fair,WW/L,WW,L,Pastoral,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM037,Ngakaroa Stream,Ngakaroa LTB,Ngakaroa LTB,FWM037,AC,Ngakaroa LTB,NA,P,2685538,6443280,NA,NA
5,ARC-00010,2038228,2005765,1751916.05837203,5917499.73738046,174.704551494193,-36.8762450960687,2013-2017,MCI,Macroinvertebrate community index,Index,67.05797,67.34058,67.52898,72.66666,77.41666,77.45,77.5,NA,NA,77.5,NA,NA,NA,Poor,WW/L,WW,L,Urban area,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM035,Oakley Creek,Oakley LTB,Oakley LTB,FWM035,AC,Oakley LTB,NA,U,2662346,6479208,NA,NA
77,EBOP-00188,4054356,4000193,1854183.19437567,5845540.1307221,175.875463946613,-37.5021060120265,2013-2017,MCI,Macroinvertebrate community index,Index,104,105.63636,106.45455,113.33333,119.10053,119.15344,119.25926,NA,NA,119.2592593,NA,NA,NA,Good,WX/L,WX,L,Native,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-083,Tuapiro Creek,NA,Tuapiro,83,EBOP,BR418554,NA,IF,2764458,6407070,NA,NA
6,ARC-00013,2038572,2005960,1742089.10657254,5915586.43389778,174.594688390727,-36.8950162545457,2013-2017,MCI,Macroinvertebrate community index,Index,83.07692,83.24475,83.35664,84.46524,88.06373,89.17157,90.83333,NA,NA,90.83333,NA,NA,NA,Fair,WW/L,WW,L,Urban area,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM034,Opanuku Stream,Opanuku LTB,Opanuku LTB,FWM034,AC,Opanuku LTB,NA,U,2652514,6477314,NA,NA
7,ARC-00017,2036037,2004609,1751901.78290172,5932875.98112824,174.701322431666,-36.7376961936415,2013-2017,MCI,Macroinvertebrate community index,Index,72.06,72.13431,72.18384,72.51748,78.86364,81.31818,85,NA,NA,85,NA,NA,NA,Poor,WD/L,WD,L,Urban area,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM013,Oteha Stream,Oteha LTB,Oteha LTB,FWM013,AC,Oteha LTB,NA,U,2662363,6494586,NA,NA
8,ARC-00022,2040911,2007136,1766444.21467608,5904298.25938422,174.870392345805,-36.9927373796473,2013-2017,MCI,Macroinvertebrate community index,Index,72,72.83478,73.39131,74.84369,74.95238,74.97143,75,NA,NA,75,NA,NA,NA,Poor,WD/L,WD,L,Urban area,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM039,Puhinui Creek,Puhinui LTB,Puhinui LTB,FWM039,AC,Puhinui LTB,NA,U,2676849,6465977,NA,NA
9,ARC-00024,2035301,2004122,1755413.17703395,5938728.62557267,174.739444826093,-36.684391128919,2013-2017,MCI,Macroinvertebrate community index,Index,69.03448,70.24721,71.0557,74.79933,78.26087,78.95652,80,NA,NA,80,NA,NA,NA,Poor,WD/L,WD,L,Pastoral,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM041,Unnamed stream,Vaughans Road,Vaughan Lower,FWM041,AC,Vaughan Lower,NA,P,2665887,6500432,NA,NA
10,ARC-00025,2041541,2007413,1782677.34730506,5901835.94191437,175.053304650455,-37.0119057154405,2013-2017,MCI,Macroinvertebrate community index,Index,90,90.51724,90.86207,93.34289,95.22275,95.3272,95.48387,NA,NA,95.48387,NA,NA,NA,Fair,WW/L,WW,L,Pastoral,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ARC-FWM032,Wairoa River,Wairoa LTB,Wairoa LTB,FWM032,AC,Wairoa LTB,NA,P,2693077,6463483,NA,NA
27,EBOP-00106,4064023,4002382,1891662.5258111,5812072.52635139,176.312208025874,-37.792186574989,2013-2017,MCI,Macroinvertebrate community index,Index,99.42857,100.73684,101.60902,107.08521,111.1164,111.41058,111.85185,NA,NA,111.8518519,NA,NA,NA,Good,WW/L,WW,L,Pastoral,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-002,Ohineangaanga Stream,NA,Ohineangaanga,2,EBOP,FO166207,NA,P,2801857,6373561,NA,NA
28,EBOP-00107,4064706,4002617,1904959.59896382,5810714.71177433,176.463536668366,-37.8000628380105,2013-2017,MCI,Macroinvertebrate community index,Index,99.26316,99.76491,100.01579,100.72727,107.2096,107.5101,108.11111,NA,NA,108.1111111,NA,NA,NA,Good,WW/L,WW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-003,Ohineangaanga Stream,NA,Kaikokopu,3,EBOP,GO496071,NA,P,2815141,6372183,NA,NA
29,EBOP-00109,4063795,4002228,1891284.7230345,5814878.09103097,176.306798099307,-37.7670620671005,2013-2017,MCI,Macroinvertebrate community index,Index,61.5,78.75,87.375,102.84615,106.64286,107.95238,110.57143,NA,NA,110.5714286,NA,NA,NA,Good,WW/L,WW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-005,Raparapahoe Stream,NA,Raparapahoe,5,EBOP,FO123493,NA,P,2801484,6376365,NA,NA
30,EBOP-00111,4071412,4004883,1924863.80353009,5800831.98661066,176.693614358493,-37.8820935926339,2013-2017,MCI,Macroinvertebrate community index,Index,117.7037,117.74075,117.75928,119.8571,125.47395,125.5079,125.5758,NA,NA,125.5758,NA,NA,NA,Excellent,WW/L,WW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-007,Mimiha Stream,NA,Mimiha,7,EBOP,IN486083,NA,P,2835011,6362278,NA,NA
31,EBOP-00112,4076419,4006797,1929144.2182722,5792322.84893031,176.746071763764,-37.9570864405357,2013-2017,MCI,Macroinvertebrate community index,Index,108.5217,109.3063,109.6986,111.5,116.94233,117.96155,120,NA,NA,120,NA,NA,NA,Good,WW/L,WW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-008,Waikamihi Stream,NA,Waikamihi,8,EBOP,IM914232,NA,P,2839274,6353771,NA,NA
32,EBOP-00113,4067960,4003752,1903426.68554362,5806053.26686996,176.448108681339,-37.8425113533604,2013-2017,MCI,Macroinvertebrate community index,Index,85.28571,89.41209,91.47527,95.06667,101.67708,104.90972,111.375,NA,NA,111.375,NA,NA,NA,Fair,WW/L,WW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-009,Mangatoetoe Stream,NA,Mangatoetoe,9,EBOP,GN342605,NA,P,2813602,6367528,NA,NA
33,EBOP-00115,4084928,4010740,1917019.16837846,5779189.9995739,176.614135103763,-38.0795266360347,2013-2017,MCI,Macroinvertebrate community index,Index,127.3333,127.95685,128.37255,134.7059,140.8,141.12,141.6,NA,NA,141.6,NA,NA,NA,Excellent,CW/L,CW,L,Native,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-011,Waikanapiti Stream,NA,Waikanapiti,11,EBOP,HK702919,NA,IF,2827142,6340669,NA,NA
34,EBOP-00117,4092190,4014044,1884880.06474001,5769871.93553758,176.252033188311,-38.1740657482449,2013-2017,MCI,Macroinvertebrate community index,Index,105.77778,108.1746,109.37302,111.25,114.09064,115.21832,117.47368,NA,NA,117.4736842,NA,NA,NA,Good,CW/H,CW,H,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-013,Puarenga Stream,NA,Puarenga,13,EBOP,EJ459985,NA,EF,2795018,6331403,NA,NA
35,EBOP-00118,4088724,4012441,1882061.26874222,5774088.34503577,176.218232894903,-38.1370111309377,2013-2017,MCI,Macroinvertebrate community index,Index,107.46154,107.73077,107.86538,113.16667,121.55592,121.95395,122.75,NA,NA,122.75,NA,NA,NA,Good,CW/H,CW,H,Urban area,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-014,Mangakakahi Stream,NA,Mangakakahi,14,EBOP,EK206408,NA,P,2792207,6335620,NA,NA
110,ECAN-00054,13208061,13523169,1439252.48779049,5029313.0414815,170.964999999996,-44.871469999994,2013-2017,MCI,Macroinvertebrate community index,Index,76.47059,79.59893,81.1631,84.34782,93.04762,94.09524,96.19048,NA,NA,96.19048,NA,NA,NA,Fair,CD/L,CD,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ECAN-SQ21160,NA,NA,sq21160,Waikakahi Stream Cock & Hen Road,ECAN,NA,SQ21160,P,NA,NA,NA,NA
111,ECAN-00055,13210161,13523742,1451756.69001376,5026546.70841884,171.122399999997,-44.8990699999963,2013-2017,MCI,Macroinvertebrate community index,Index,58.46154,62.5641,64.61538,68.88889,72.05883,72.35295,72.94118,NA,NA,72.94118,NA,NA,NA,Poor,CD/L,CD,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ECAN-SQ21289,NA,NA,sq21289,Whitneys Creek Carrolls Rd,ECAN,NA,SQ21289,P,NA,NA,NA,NA
129,ECAN-00117,13183300,13516886,1358099.78195544,5069217.74531405,169.957699999966,-44.4898299999336,2013-2017,MCI,Macroinvertebrate community index,Index,87.2,87.83077,88.14615,92.5,95.36552,95.53104,95.86207,NA,NA,95.86207,NA,NA,NA,Fair,CD/H,CD,H,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ECAN-SQ10005,NA,NA,sq10005,Omarama Stream SH8,ECAN,NA,SQ10005,T,NA,NA,NA,NA
130,ECAN-00122,13174573,13513530,1362633.24456887,5086193.5901136,170.022399999969,-44.338709999942,2013-2017,MCI,Macroinvertebrate community index,Index,92.30769,95.20146,96.64835,101.8182,104.5,105,106,NA,NA,106,NA,NA,NA,Good,CD/H,CD,H,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ECAN-SQ10206,NA,NA,sq10206,Spring Creek u/s SH8,ECAN,NA,SQ10206,T,NA,NA,NA,NA
36,EBOP-00123,4102700,4018298,1930464.89338917,5755979.38590884,176.777900000158,-38.2834499998214,2013-2017,MCI,Macroinvertebrate community index,Index,100,110.2941,115.44115,128.8889,133.42997,136.48955,142.6087,NA,NA,142.6087,NA,NA,NA,Excellent,CW/L,CW,L,Exotic forest,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pahekeheke at Pokairoa Rd,Pahekeheke at Pokairoa Rd,EBOP,NA,JI046597,EF,NA,NA,NA,NA
37,EBOP-00124,4104874,4018810,1904161.28061053,5753357.9337214,176.478856698636,-38.3163263228109,2013-2017,MCI,Macroinvertebrate community index,Index,78.33333,86.54167,90.64583,116.66667,120.84821,120.94643,121.14286,NA,NA,121.1428571,NA,NA,NA,Good,CW/H,CW,H,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-020,Mangakino Stream,NA,Mangakino,20,EBOP,GI416335,NA,P,2814262,6314878,NA,NA
38,EBOP-00125,4104353,4018783,1933623.63529485,5754074.1781954,176.814835473272,-38.2994148202161,2013-2017,MCI,Macroinvertebrate community index,Index,95.75,104.441,110.235,126.6457,129.2857,129.57142,130,NA,NA,130,NA,NA,NA,Excellent,CW/L,CW,L,Exotic forest,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-021,Mangapapa Stream,NA,Mangapapa,21,EBOP,JI362407,NA,EF,2843696,6315557,NA,NA
39,EBOP-00126,4089593,4012847,1920942.04261623,5772693.05599255,176.661693449043,-38.1365790752065,2013-2017,MCI,Macroinvertebrate community index,Index,119.1852,120.8783,121.72485,123.6667,130.4565,133,138.087,NA,NA,138.087,NA,NA,NA,Excellent,WW/L,WW,L,Exotic forest,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-022,Mangate Stream,NA,Mangate,22,EBOP,IK094269,NA,EF,2831052,6334173,NA,NA
40,EBOP-00127,4088131,4012161,1920740.59355168,5775055.13359333,176.65833758156,-38.1154054519675,2013-2017,MCI,Macroinvertebrate community index,Index,100,110,115,130,133.92295,134.2095,134.7826,NA,NA,134.7826,NA,NA,NA,Excellent,WW/L,WW,L,Native,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-023,Buddles Creek,NA,Buddles,23,EBOP,IK074505,NA,IF,2830854,6336533,NA,NA
131,ECAN-00123,13164156,13510147,1386026.95061528,5105219.09168339,170.323299999981,-44.1748799999695,2013-2017,MCI,Macroinvertebrate community index,Index,90,95,97.5,100.9524,102.1664,102.5937,103.4483,NA,NA,103.4483,NA,NA,NA,Good,CD/H,CD,H,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ECAN-SQ10275,NA,NA,sq10275,Mary Burn d/s SH8,ECAN,NA,SQ10275,T,NA,NA,NA,NA
41,EBOP-00128,4089475,4012778,1912212.82582644,5773247.66210476,176.562037274566,-38.1346511449325,2013-2017,MCI,Macroinvertebrate community index,Index,127.1429,128.18753,128.88395,131.8642,135.81838,136.90436,138.53335,NA,NA,138.53335,NA,NA,NA,Excellent,CW/L,CW,L,Native,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-024,Kaipara Stream,NA,Kaipara,24,EBOP,HK221324,NA,IF,2822332,6334739,NA,NA
42,EBOP-00129,4077373,4007250,1950843.75907069,5790783.87469813,176.993254962637,-37.9628065893476,2013-2017,MCI,Macroinvertebrate community index,Index,110.3333,111.6031,112.238,115.12,119.7805,121.4434,124.7692,NA,NA,124.7692,NA,NA,NA,Good,WW/L,WW,L,Native,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-025,Wainuitewhara Stream,NA,Wainuitewhara,25,EBOP,LM085075,NA,IF,2860947,6352201,NA,NA
43,EBOP-00130,4077828,4007441,1951464.87847837,5789871.72151938,177.000754319229,-37.9707676705262,2013-2017,MCI,Macroinvertebrate community index,Index,102.8,105.25715,106.48573,120.08,138.49,140.66,145,NA,NA,145,NA,NA,NA,Excellent,WW/L,WW,L,Native,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-025A,Wainuitewhara Stream,NA,Wainuitewhara,25A,EBOP,LL146987,NA,IF,2861566,6351289,NA,NA
44,EBOP-00132,4078992,4007917,1942461.39653269,5787848.89536528,176.899452178049,-37.9923960366875,2013-2017,MCI,Macroinvertebrate community index,Index,66.03846,68.70385,70.48077,77.57918,86.76982,89.38363,93.30435,NA,NA,93.30435,NA,NA,NA,Poor,WW/L,WW,L,Pastoral,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-026,Te Rahu Canal,NA,Te Rahu,26,EBOP,KL246784,NA,P,2852570,6349282,NA,NA
45,EBOP-00134,4074504,4006018,1927967.16397947,5795513.36684229,176.731248365248,-37.9288170428279,2013-2017,MCI,Macroinvertebrate community index,Index,106.9333,112.25975,114.92298,117.9,124.13665,125.0511,126.88,NA,NA,126.88,NA,NA,NA,Good,WW/L,WW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-028,Awakaponga Stream,NA,Awakaponga,28,EBOP,IM796551,NA,P,2838103,6356960,NA,NA
46,EBOP-00135,4071273,4004837,1920233.35301786,5800107.0712247,176.641387386541,-37.8902532937189,2013-2017,MCI,Macroinvertebrate community index,Index,105.7,106.7731,107.30965,111.2308,113.50393,114.31215,115.9286,NA,NA,115.9286,NA,NA,NA,Good,WW/L,WW,L,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-029,Pikowai Stream,NA,Pikowai,29,EBOP,IN023010,NA,P,2830384,6361561,NA,NA
47,EBOP-00137,4073880,4005570,1915897.93750401,5797019.43886606,176.59353114506,-37.9195413322391,2013-2017,MCI,Macroinvertebrate community index,Index,94,101.35295,105.02943,115.8889,123.378,124.627,127.125,NA,NA,127.125,NA,NA,NA,Good,WW/L,WW,L,Native,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-031,Pungarehu Stream,NA,Pungarehu,31,EBOP,HM600703,NA,EF,2826048,6358483,NA,NA
132,ECAN-00124,13190895,13519343,1378033.21180656,5057172.52534974,170.202899999978,-44.6045399999597,2013-2017,MCI,Macroinvertebrate community index,Index,93.04348,96.52174,98.26087,100,105.42855,105.5238,105.7143,NA,NA,105.7143,NA,NA,NA,Good,CD/M,CD,M,Native,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,ECAN-SQ10301,NA,NA,sq10301,Otematata River SH83,ECAN,NA,SQ10301,T,NA,NA,NA,NA
372,HRC-00353,7239687,7040071,1821280.26473961,5526193.94534017,175.60690000002,-40.3854799999781,2013-2017,MCI,Macroinvertebrate community index,Index,101,101.3,101.5,104.5,117,121,127,NA,NA,127,NA,NA,NA,Good,CW/L,CW,L,Pastoral,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,turitea at no1 dairy,Turitea at No1 Dairy,HRC,NA,Turitea at No1 Dairy,P,NA,NA,NA,NA
48,EBOP-00138,4069956,4004412,1909469.60050933,5801826.99107281,176.518471125178,-37.8785017103128,2013-2017,MCI,Macroinvertebrate community index,Index,100.94737,104.37845,106.09398,110.2,112.62857,113.35238,114.8,NA,NA,114.8,NA,NA,NA,Good,WW/L,WW,L,Exotic forest,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-032,Pongakawa Stream,unnamed tributary,Pongakawa Tributary,32,EBOP,GN947182,NA,EF,2819633,6363296,NA,NA
49,EBOP-00141,4085072,4010809,1878043.00000387,5778916.99999978,176.170569818526,-38.0948052704228,2013-2017,MCI,Macroinvertebrate community index,Index,118.73684,120.80592,121.84046,123.42857,131.27885,133.05769,136.61538,NA,NA,136.6153846,NA,NA,NA,Excellent,CW/H,CW,H,Pastoral,5,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ngongotaha at Paradise Valley Rd,Ngongotaha at Paradise Valley Rd,EBOP,NA,DK804886,P,NA,NA,NA,NA
50,EBOP-00142,4084154,4010395,1881870.79482948,5780154.60405582,176.213667795664,-38.0824833276332,2013-2017,MCI,Macroinvertebrate community index,Index,104.94737,106.90827,108.21554,112.26817,114.42632,114.97579,115.8,NA,NA,115.8,NA,NA,NA,Good,CW/H,CW,H,Pastoral,4,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,EBOP-036,Ngongotaha Stream,NA,Ngongotaha,36,EBOP,EL187015,NA,P,2792025,6341682,NA,NA
